20	2.97794
20.3	2.9812
20.6	2.98523
20.9	2.98832
21.2	2.98928
21.4	2.98926
21.8	2.98874
22	2.98839
22.4	2.98681
22.7	2.98299
23	2.97471
23.3	2.96162
23.6	2.94572
24	2.92502
24.3	2.91201
24.7	2.89939
25	2.89395
25.4	2.89096
25.8	2.8889
26.2	2.8842
26.5	2.87785
26.9	2.86504
27.2	2.85227
27.6	2.83332
28	2.81672
28.5	2.80305
29	2.79573
29.5	2.7922
30	2.79132
30.4	2.79243
30.7	2.79413
31.1	2.79717
31.5	2.80047
32	2.80296
32.5	2.80251
33	2.80061
33.5	2.79856
34	2.79672
34.5	2.79542
35	2.79539
35.5	2.7
...
