frequency,raw
7200,5.8146
7300,5.8075
7400,5.7859
7500,5.7492
7620,5.6909
7750,5.6194
7880,5.5516
8000,5.5063
8120,5.4743
8250,5.4329
8380,5.372
8500,5.2984
8620,5.2053
8750,5.0898
8850,5.0045
9000,4.8851
9120,4.7746
9250,4.6289
9380,4.4695
9500,4.317
9620,4.1644
9750,4.0154
9880,3.8809
10000,3.7393
10150,3.5134
10300,3.2462
10440,2.973
10600,2.6415
10750,2.3249
10900,2.0361
11060,1.758
11200,1.4816
11380,1.0597
11500,0.7349
11720,0.0215
11800,-0.2406
12060,-1.0703
12200,-1.5253
12410,-2.1918
12500,-2.4916
12650,-2.9958
12800,-3.5123
13150,-4.8341
13200,-5.0478
13400,-5.9147
13600,-6.7802
13800,-7.6792
14000,-8.6392
14300,-10.1763
14500,-11.2994
14750,-12.774
15000,-14.1717
15250,-15.6975
15500,-17.3708
15750,-19.1391
16000,-20.9198
16250,-22.7825
16500,-24.7694
16750,-26.8574
17000,-28.9909
17250,-31.2234
17500,-33.443
17750,-35.9046
18000,-38.2422
18250,-40.8014
18500,-43.5173
18750,-46.1504
19000,-48.5643
19250,-51.2621
19500,-54.3133
19750,-56.3482
20000,-59.7121
