frequency,raw
7300,8.3074
7400,8.0424
7500,7.8135
7620,7.4585
7750,7.0377
7880,6.6606
8000,6.3233
8120,5.9857
8250,5.6429
8380,5.2339
8500,4.8392
8620,4.3881
8750,3.9166
8850,3.571
9000,2.9722
9120,2.5972
9250,2.0937
9380,1.5276
9500,0.9099
9620,0.4797
9750,-0.0323
9880,-0.6096
10000,-1.0857
10150,-1.9136
10300,-2.5552
10440,-3.2755
10600,-4.1626
10750,-5.0865
10900,-5.9199
11060,-6.6936
11200,-7.4043
11380,-8.5428
11500,-9.2206
11720,-10.8397
11800,-11.2775
12060,-13.1932
12200,-14.1718
12410,-15.7067
12500,-16.2883
12650,-17.4125
12800,-18.5574
13150,-21.2567
13200,-21.7417
13400,-23.3501
13600,-25.0892
13800,-26.9385
14000,-28.6475
14300,-31.5513
14500,-33.6094
14750,-36.1476
15000,-38.7126
15250,-41.3792
15500,-44.2892
15750,-47.1624
16000,-50.1949
16250,-53.2178
16500,-56.5651
16750,-59.7512
17000,-63.3518
17250,-66.6215
17500,-70.4847
17750,-74.3633
18000,-77.0995
18250,-80.9863
18500,-85.1169
18750,-88.696
19000,-92.2792
19250,-97.3864
19500,-99.772
19750,-103.4689
20000,-115.1418
